idComment	comment
41873_u	I was initially excited about seeing El Topo. Not only had it received excellent critical reviews, but I also found various postings on the Internet praising the film as a masterpiece. Well, I'm here to say that this is a vastly overrated student art film.<br /><br />The symbolism is overdone and sophomoric at best. In fact, it is as if the director thought symbolism could be substituted for plot and character development, forgetting that these are tools used to enhance them. Also, the overly hackneyed and simplistic symbolism takes away from the surreal experience that the director intended to create. It was akin to viewing the subconscious of a mental midget: weird but boring as all hell!! <br /><br />I'm not even going to dwindle on the violence. It goes without saying that over time it has lost its shock value. However, it was not necessarily gratuitous--although the symbolism was--and did add to the story.<br /><br />Overall, if you like freaky stuff for the sake of freakishness, this film is up your alley. But, if you want more substance and meaningful development avoid El Topo at all possible cost. I know I want those two hours of my life back!
41874_u	"If you do not care about quality acting or cinematography, this movie might just be for you. If you love cheesy characters who are anything but believable, this movie is for you. If you love the cheesy plot structure of a Disney movie and consider yourself to be intellectually worthless, you're only a ticket away from mindless bliss. If you find overweight goth girls attractive, well... you get the point. There are several 'fight scenes' in this movie which look as realistic as Sonny beating up Carlo in the Godfather. Note that this movie was made in 2007. Charlie is able to trick his 'psychiatrist' into prescribing him all manner of drugs. Somehow his psychiatrist doesn't see a problem with Charlie taking drugs for almost every defined psychological disorder. I wonder if he got his degree at the same place as the director. Life as a high schooler is portrayed in an absurdly cliché way. There is a bully, a drama geek, a suicidal kid, and of course a principal. The principal is the most unrealistic character (aside from Charlie) in the movie. The principal is an unrealistically normal person until he decides to get liquored up and fire a pistol into the sky above his suburban neighborhood. Of course Charlie dates the principal's daughter. You can't have a cheesy movie without the father vs. boyfriend and principal vs. mischievous student relationships. In the end, the moral of the story is ""Hey! Charlie Bartlett is just a kid! You can't expect much from a kid, can you?"" Whatever kid has the charisma and public speaking skills to influence and control his flock-of-sheep high school class isn't a kid to me."
41875_u	I really wanted this movie to succeed, but it didn't. What started out as a mildly interesting premise grew into a disturbing and strange movie about a prep school drop-out making his way in a regular school by treating and prescribing for the mental health of his fellow students. It was not funny nor amusing nor entertaining. The acting struggled in several scenes, but the most obvious deficit is the lack of emotional connection between the characters. Our lead, Charlie, has a romantic interlude with the lead female character, the principal's daughter, and I couldn't imagine a more sterile, unromantic joining. They barely seem connected or interested in each other, and yet we're led to believe that they've made love. It's strange and pathetic. I felt like I was watching a movie trying to be a play trying to be significant, and it just wasn't. I'm sorely disappointed and wouldn't recommend this movie to anyone.
41876_u	Story of a spoiled rich kid who begins to sell Ritalin and advice to the student body of his new high school. In doing so he begins to find himself and his life.<br /><br />What you think of the film will depend on what you think of Anton Yelchin as Bartlett. To some he's a charming rogue, to me he comes off as an insufferable twit in the same way that Frank Albertson could be annoying in the B movies of the 1930's and 40's. I found him abrasive and had an impossible time getting through the film. To be certain the film is witty but with out a central character you care about all the clever lines in the world will fall flat, which was what happened here. In all honesty give me Juno any day.
41877_u	"Mix together Rushmore, Thumbsucker, and Ferris Bueller's Day Off, sprinkle in some odd classics but go real light on creativity and originality, and you got Charlie Bartlett. The movie is a mess. Lots of moments stolen from other ""High School movies"" but no clarity and the movie is completely ridiculous and unrealistic; moments like Charlie (and shortly after the whole school) going completely ape on what was supposedly a LOW dosage of ritalin were very frustrating. But most importantly, it is completely uninspired and surprisingly boring. You know there's something wrong when even Robert Downey Jr. is uninteresting in a character that made me wonder why he chose to do the movie in the first place. Moments like the musical tribute to Harold and Maude (""If You Want to Sing Out, Sing Out"")just made me think: ""Why am I watching this movie; I should be watching that one"" which made it very hard to appreciate the few moments that were good."
41878_u	"I enjoy a good high school drama as much as the next guy, and I'm quite willing to hold my nose a little bit with regards to originality and believability, but unfortunately, with this movie, the stink penetrated my best nose-blocking efforts.<br /><br />There is nothing new in this movie at all. There is nothing that is even gently used. It's all been done before, again and again, ad nauseam. And done better. But unoriginality is not this movie's only crime. Worse is the total lack of a believable setting or narrative.<br /><br />First of all, high school is not like this at all -- this is the Hollywood stereotype high school that we have all become so familiar with over the years in movie after movie, most recently with ""17 Again"". Why can't they break free of this particular fantasy and create a high school that is just a little more interesting and believable?<br /><br />Second, you don't have to examine the story very closely to find it wanting. I'm willing to let all kinds of things go for the sake of suspension of disbelief, but this movie just pushes it too far. There's a scene where Charlie and his buddy decide to sell videotapes of students being beaten up, and the whole school goes crazy trying to buy them. I just didn't get it. Another sequence features Charlie visiting psychiatrist after psychiatrist to obtain prescription drugs. Presumably,as a minor, they would consult with his mother before prescribing these drugs, and in fact, it would be very unusual for them to even accept him as a patient without first having contact with a parent -- at very least to arrange for payment (this being the United States). And the things he gets away with in the boys' bathroom? Please.<br /><br />And third, the stereotype characters. Dear Lord, save us from the same set of stereotypes yet again -- even more crudely and lazily fashioned than they usually are. Go and write the first three to five high school stereotype characters that come to mind on the back of an envelope -- and yup, you're going to see them in this movie. I get the impression that the film makers didn't even try to do anything different with these characters because they were as bored with them as we are.<br /><br />If I were from this age group, I would be particularly offended by this movie because of the way it portrays teenagers. Dumb, drug-addled, text-messaging sheep. The ill-defined clumsy lesson at the end seems to be something about how parents have to be better, and have to support their kids dumb, drug-addled, text-messaging sheepish ways - or something like that.<br /><br />The whole movie reeks of ""why bother"". Redeeming qualities? Well, the actor who plays Charlie Bartlett does a nice job. He's fun to watch. I've always thought Robert Downey Jr. is talented. He deserves better than this movie. I would have to dig really deep to come up with a third one. Ummmm. The architecture of the school is nice."
41879_u	"This has the potential to be a clever, fun movie. There're are a lot of things going on that point out the absurdity of modern teenage life, and the pressures we put kids under so that they achieve our goals.<br /><br />However, the adults are morons. Rich, successful people are complete fools. Somehow in America you stay poor if you are ugly, but if you are an imbecile with a size 2 dress, you live in a 5,000 sq ft house with a staff of 15 (never seen) who do all the chores. You don't actually learn anything, so you can't pick up on normal social clues that everyone else does - Charlie, for example, gets beaten up in school because he doesn't pick up that a tough guy and his sycophant in the high school bathroom are people to avoid. Instead, he gets beaten up all day long.<br /><br />And - ha ha, this is so funny - the school principal (Robert Downey) is disconnected to the kids in the school, so they completely disrespect him *and* he doesn't know how badly he is functioning. But he's rich, too, and lives in a 4,000 sq foot house with a staff of 10 (never seen) who do all the chores.<br /><br />The high school is composed of students who are just about on the lowest margin of functionality and awareness. Not a single one of them is destined to be successful serving fries at a McDonalds, let alone doing anything positive. But they are all on drugs - ha ha! - and they barely can keep themselves from disrobing and ""making out"" (euphemism for what all high school kids do all the time in Hollywood high schools). They openly smoke cigarettes and dope in school, and Charlie distributes high powered drugs (Ritalin & others) in school. All high schools are like this, of course. Not a single kid has a healthy relationship with any adult, and not any adult has a rational frame of mind.<br /><br />Ha ha. You just can't get enough of this.<br /><br />And - ha ha - Charlie can just read up medical books and - poof! - he is smart enough to prescribe drugs *just like a real doctor!* And he does.<br /><br />*** SPOILER*** Charlie's family has a psychiatrist on-call, and he's bamboozled the Dr. (who went to medical school and psychiatry school but somehow was never warned about manipulative kids) who lets Charlie describe fake symptoms and then prescribes drugs for Charlie, who then sells/distributes the drugs in school. Ha ha. This is so funny.<br /><br />I gave it a three because it had some good moments - but the cruft around the good is just so awful.<br /><br />This should have been caught in the editing stage. The editors should have been more on the ball. They could have rescued this film.<br /><br />Instead, the producers must have intervened, saying ""We don't care if this is a failure of a movie. We're on a schedule."" Lame movie. Lame script. Some good acting. (Charlie actuall does some good stuff.)"
41880_u	"This film infuriated me enough that I'm not certain I can write sensibly about it. So forgive me if I begin to rant. The thing is, this movie blatantly rips off several movies that I love, including ""Harold And Maude,"" ""Pump Up The Volume,"" ""Some Kind Of Wonderful,"" ""Sixteen Candles,"" ""Ferris Bueller's Day Off"" and ""Rushmore."" It is not an homage to these films. It's simple thievery. And not done by an adept thief, but by an amateur. Meaning the thievery doesn't even work.<br /><br />The song ""If You Want To Sing Out, Sing Out"" was written by Cat Stevens specifically for the film ""Harold And Maude"" (one of only two songs written for that film, the other being ""Don't Be Shy""). In this film it's used twice, the first time as a duet on the piano, just as it's used the first time in ""Harold And Maude,"" which is annoying enough. But the second time, it doesn't fit at all. It's used to end a play - a play that is supposed to be controversial, by the way, but which clearly isn't - written by a student. So Gustin Nash has the student be a thief as well - this poor suicidal character (the suicide attempt, incidentally, is straight out of ""Pump Up The Volume,"" as is Charlie Bartlett's speech near the end and his subsequent arrest - in fact, as he is put into the back of the police car in slow motion, I couldn't help but turn to my friends and say ""Talk hard""). So the play within the film ends with a song stolen from a much better film - but doesn't fit at all. Also, they didn't get the lyrics right, but that's insignificant when compared to the larger problems of this movie.<br /><br />If you do decide to see this film, I suggest a way to enjoy it: shout out the title of the movie each scene is stealing from. I'll give you a hint. When the movie begins - and I mean the second it starts - shout out, ""Rushmore."" You'll be ahead of the game.<br /><br />The first scene is the first scene from ""Rushmore."" A teenager's fantasy about standing in front of his peers, being successful and leading the way - and then getting shaken out of his reverie by a teacher. Actually, the first several scenes are from ""Rushmore."" The boy gets kicked out of private school, ends up in public school, but still wears the blazer with the private school emblem on it.<br /><br />But Gustin Nash is not content to steal from just ""Harold And Maude"" and ""Rushmore."" We're soon introduced to the bully from ""Some Kind Of Wonderful,"" and - surprise, surprise - he and the main character become friends. And he, like Elias Koteas in the better film, has hidden artistic talent. He can act. So, like in ""Rushmore,"" the bully is in the play at the end of the film. We also have the scene from ""Sixteen Candles"" where a couple leave a dance to go sit in the backseat of broken car within the building. Of course, before that we're treated to the school bus ride from ""Sixteen Candles."" That reminds me. There is a school bus sign to let Charlie Bartlett know where to catch the bus, yet no one else gets on at that stop. So why was the sign there? Did the bus always stop there, even when there were no students? Or did they just put the sign up that day for him?<br /><br />Well, this movie is not the worst film I've ever seen. There is actually some good acting in it, especially by Kat Dennings as Susan, Charlie's love interest, and Tyler Hilton as the bully. And of course Hope Davis is always good. And Robert Downey Jr., an actor I love, does the best he can with the material - but he does fall flat in several scenes, particularly a horrible scene involving him waving a gun around next to his pool. I could go on for several pages about all that is wrong with that scene, but I won't. Because I hope by now I've convinced you to stay far away from this film. Don't let this amateur thief have a hit. Let him fade quietly away."
41881_u	The gore in this film was good. Thats about all the good I can say about this film. I see others saying the acting was good when I read other reviews on this film and I only have to say one thing about that.. What are you people taking? This was the worst acting I have ever seen and I have seen some really bad acting, and the story??? ooh very bad. There where to many hole in the script writing. And everybody is raving about a surprise ending. um mm people......Most film today are going into that direction of weird twisty endings. It's being overdone. All's I have to say about this film that 13 seconds is 13 seconds to long to watch it.
41882_u	I bought 13 seconds from my local BlockBuster straight outta the old previously viewed section. The cover art looked good and I thought I'd give it a try.<br /><br />From the very beginning of the movie due to the way this film was shot you can tell it's a B movie. (Not always a bad thing) Have you ever called in sick from work and been forced to watch daytime T.V. or If you've ever been forced to watch some of the acting on the daytime soaps.... That was better acting than in this movie. ( Over Acting all the way) The story had a small cleverness to it but not enough for me to waste my time again. The effects were B grade. Where the movie really went bad for me was right from the start. In the beginning for no real reason to progress the story the main character shoots up. For me I thought we were suppost to root for the main character. This did two things, First, I'm not gonna root for a junkie not to be killed. Second, through the rest of the movie I found myself wondering if either the main character was just high or if he had died with that needle in his arm. Personally I feel it would have been the smart move to kill off the main character when he shot up. The movie would have been much more enjoyable.
41883_u	So this is another one of those crappy low budget horror movies, that tries to make you think. I have news for you, when it comes to low budget we want slashers, zombies or something with blood. If you're gonna make us set through GOD-AWFUL acting then at least give us something to keep us occupied...like umm i dunno - a damn story perhaps.<br /><br />I love low budget horror movies, but they cant take 20 grand and try to make The Sixth Sense or something out of it. So many people go on and on about giving them some credit because it is AFTER ALL...A low budget movie - BULLS**T -- OK I am as lenient as can be for that fact, but thats no excuse for the bad acting and poor direction and most of all the story... Why do these people even attempt to make a movie for, because they have a camera and no job which leaves them with lots of time and they try to throw some crappy effects in and make a movie. Bad idea.<br /><br />I'm glad that someone liked it, but it was just lazy in my opinion.<br /><br />The only good thing about this one was that people were dying and there was blood. It started off so good, then they got to the house altogether and man did the suck start flying. The acting killed this movie... I admit I only watched like 45 minutes to an hour of it.. it sucks that bad
41884_u	This movie aside from being completely horribly made. Lacked any real plot,one minute there supposed to be making a video. The next they're playing f***ing Scooby Doo. It lacks all meaning and the horrible scene where the characters do heroine is... Well there are no words to describe the apparent acted reaction of the actors. Not only that, but there is a scene in the movie where the characters attempt to nail a door shut, that opens in the other direction... The audio and visual of this trash fest was both poor and horrible. One of the characters spent the whole movie chewing on someone else's tooth. I wouldn't even suggest watching 13 seconds of it. The poorly edited pictures that were supposed to give hints as to what would happen next, where done in two different mediums and did not make any sense.
41885_u	I rented this horrible B movie last night before checking out people's comments first.I will never make that mistake again.I couldn't even get a credit for another DVD after asking for a one at the video store because it's just their stupid policy not too because it's a renter beware thing or something.I thought the opening scene was a bit funny but knew from there it was no horror and could not get into it because it dragged on and was boring as hell.It was filmed in the same cheap same format as a daytime soap opera.I trusted the stupid cover art when it said nothing but good things about this movie.Even Fangoria gave it praise.I'm not sure I wanna read Fangoria anymore after being mislead.I don't understand how it could win anything.The idiot who made this film has no taste and it never should have even found distribution. Don't waste your time or money on this!
41886_u	My father in law bought some kind of stock in this movie. (I think he made a bad investment.) That is how I came across it. At first, the story is confusing and you are wondering what in the world is going on. They do not explain anything at all in the beginning. On several occasions, I was about to shut this movie off but do not. The story only gets better with time. More secrets are revealed Later in the movie. They movie is choppy with the scenes and is very hard to follow. The acting killed the movie. It was the worst acting I have ever seen. The characters talk in the same tone even when someone is ripped open right in front of them. This is definitely a low budget film. The only good things are the surprises and the gore. It could have been a good movie with decent acting and a bigger budget.<br /><br />Grades: Acting: D- (This would be an F but Jeff Thomas does a decent job as the lead) Suspense: C- Sometimes this movie was too slow sometimes it was too fast Gore: B- This was the best part Story: C It sucked at first but revealed a lot in the end Characters: D You had no clue who was a main character or if they were dead Overall: C- had the potential to be good but nothing was explained well Do not buy this movie! If you see it on a shelf at blockbuster, rent it along with some other horror flicks you never heard of and compare them. This movie is not worth five bucks to own. The acting is one reason to see this movie. ( IT is so horrible it is worth more than the movie itself.
41887_u	I'm a big fan of horror movies especially zombie or vampire movies. So I've seen a lot of horror movies and non-horror movies, too. Out of all the movies I have seen in my lifetime, this movie by far is the worse movie I have ever seen. It is so bad in every aspect you could ever imagine. How this movie even got into a blockbuster I will never know.<br /><br />I've seen some really bad zombie or vampire movies in my time, but this movie ousted those movies by far. Don't get the wrong impression this is not a zombie or vampire movie. It's some dumb plot of a dumb band going to an abandoned art gallery to shoot a video or something!!??? Like come on why???? I mean sure horror movies does have some weird or stupid plot lines but come on this was just retarded.<br /><br />The camera shots are so awful. Every time someone talked it zoomed into the person's face so the whole movie you see the camera on someones face as they talk no clever camera angles. The actors honestly could have shot the movie anywhere. All they had to do is look directly into a camera a read their lines and an editor just cut and splices their lines to make a conversation. The lighting of the movie is horrible. Like i said all you see the whole movie is the actors faces but majority of the time you only see half their face because the other half is just black or dark. If Jeff Thomas thought that was a cool thing to do he's just a retarded nerd. There are some scenes where its just all black and you really can't make out anything. Bad shots and lighting doesn't even compare to how bad the acting is. You could pick random people off the street and get better acting. These people in this film aren't just normal or bad actors. They're like super anti-acting sucking. Honestly, you couldn't even act to act as bad as these actors were. Their tones are monotone the whole movie and the script is so unnatural and awkardward (yeah it's misspelled this horrible movie must have killed my brain cells).<br /><br />Although I do come on this site a lot to check things out I never ever registered for an account, but after watching this movie I made an account just so that I could post this comment. If I can get just one person to read my comment and save them from watching this movie, I can know that I truly made this world a better place. Honestly, DON'T WATCH THIS MOVIE!!! SAVE YOURSELF!!! YOU WILL NEVER BE THE SAME!!! If there was a movie out there that could make people commit suicide, this would be the movie. I never actually said this before in my life and truly meant it but, Jeff Thomas should be shot if he makes another movie and there should be laws enacted to prevent this guy from making movies especially if he decides to be the main character. What's worse Jeff Thomas's movies or his acting????? By now you actually might want to see the movie just from curiosity of how really bad could it be, but DON'T!. Worse movie ever. Some things are better left unknown don't let curiosity overcome you. STAY AWAY.<br /><br />This movie should be the worse rated movie on IMDb, but it seems like jeff thomas and his friends came on here made random accounts and posted up fake comments and ratings for this movie so people could be mislead to watch this horrible movie. There are comments who gave this movie ten stars!!!!! get the $%#@ out of here. Those are fake. Any comment with more then 2 stars is definitely a fake comment to trick people and boost it's ratings up so it wouldn't be the worst rated movie on IMDb.
41888_u	... horrible, horrible. I made the mistake of picking up this movie at my local rental store based on its cover alone. Big mistake. '13 seconds' sucks on all fronts: the acting, the story, the sound, the camera-work - all sink below any standards I can recall having ever seen on this side of my father's home videos from the 1980's. I'm usually a fan of low budget and independent horror, but in this case there's no redemption possible. The combination of absolutely no talent and next to no budget calls for disastrous results. The only thing scary about this movie is that it actually manages to strike up some positive reviews... truly horrifying!
